"ORDER_ID","GOODS_ID","GOODS_NAME","UNIT_PRICE","QUANTITY","RETURN_QTY"
"1109349","2631","伊利益消低乳糖酸奶160g","4.50","1","0"
"1109353","3362","百事可乐600ml","3.00","1","0"
"1109353","2481","娃哈哈苏打水350ml","3.00","1","0"
"1109353","3184","农夫山泉矿泉水4L","8.50","1","0"
"1109353","4077","洽洽山核桃味瓜子108g","7.00","1","0"
"1109355","6028","代跑腿服务（软云）","23.00","1","0"
"1109369","5874","【桃李】手撕面包160g","5.50","1","0"
"1109369","16528","【桃李】小果子140g","4.50","1","0"
"1109371","2401","蒙牛特仑苏纯牛奶250ml","4.35","1","0"
"1109382","6028","代跑腿服务（软云）","23.00","1","0"
"1109387","6227","白鹤山土鸡蛋 15枚装","18.50","1","0"
"1109387","13524","花中花三江珍珠大米5kg","46.00","1","0"
"1109388","3351","洽洽焦糖瓜子108g","5.50","1","0"
"1109388","4077","洽洽山核桃味瓜子108g","5.50","1","0"
"1109388","12318","波力海苔4.5g","4.00","1","0"
"1109388","12334","外婆家满口香（烘炒花生）130g","4.00","1","0"
"1109398","3998","南孚聚能环碱性电池5号2粒装","5.00","1","0"
"1109401","12582","农心辛拉面土豆排骨面袋装120g","5.50","1","0"
"1109405","2251","德芙黑巧克力条装43g","7.00","1","0"
"1109405","21007","丘比沙拉酱200g","12.00","1","0"
"1109406","4948","美年达橙味汽水600ml","2.38","1","0"
"1109406","3770","康师傅泡椒牛肉面袋装99g","2.50","2","0"
"1109406","4512","美好火腿肠优级120g","3.50","1","0"
"1109410","2738","统一阿萨姆奶茶原味500ml","4.00","1","0"
"1109410","3351","洽洽焦糖瓜子108g","5.50","1","0"
"1109410","7692","卫龙大面筋香辣味65g","2.50","1","0"
"1109410","3858","金富士脆美司红番茄味棒饼干128g","5.00","1","0"
"1109411","6028","代跑腿服务（软云）","23.00","2","0"
"1109420","2250","德芙丝滑牛奶巧克力条装43g","7.00","1","0"
"1109420","3016","旺仔QQ糖可乐味70g","3.00","1","0"
"1109420","3127","伊利味可滋巧克力牛奶240ml","4.50","2","0"
"1109420","5049","旺仔QQ糖葡萄味70g","3.00","1","0"
"1109422","6593","田牧金钻75g","6.00","1","0"
"1109422","4418","思念灌汤水饺猪肉香菇饺子500g","6.00","1","0"
"1109424","6269","代跑腿服务（娇子格调黑）","15.00","2","0"
"1109428","4625","思念手打天下韭菜水饺495g","13.50","1","0"
"1109428","4085","鱼泉鲜香榨菜鲜香原味70g","1.50","1","0"
"1109428","4180","乌江涪陵榨菜下饭菜80g","2.00","1","0"
"1109428","4084","乌江凉拌海带丝鲜香味50g","2.00","2","0"
"1109428","8396","双汇玉米热狗肠40g","1.50","1","0"
"1109428","2620","饭扫光麻辣什锦下饭菜/拌饭菜280g","8.50","1","0"
"1109439","4077","洽洽山核桃味瓜子108g","5.50","1","0"
"1109439","2043","有友泡椒凤爪泡椒鸡爪210g","10.00","3","0"
"1109441","2098","喜之郎什锦果肉果冻200g","4.00","1","0"
"1109441","2889","卫龙亲嘴烧红烧牛肉味辣条22g","0.50","2","0"
"1109441","3859","川洋黑米锅巴麻辣味休闲食品32g","1.00","1","0"
"1109441","3850","咪咪乐园点心面红烧牛肉味/虾条82g","3.00","1","0"
"1109472","8115","乐事薯片红烩40g","4.00","10","0"
"1109472","3133","乐事薯片青柠味70g","6.00","5","0"
"1109472","3134","乐事薯片黄瓜味70g","6.00","7","0"
"1109477","4065","伊利牛奶片经典原味32g","4.00","1","0"
"1109477","6272","代跑腿服务（利群）","14.00","1","0"
"1109477","2311","老灶煮花生72g","2.00","1","0"
"1109481","2843","康师傅红烧牛肉面方便面桶装109g","4.00","1","0"
"1109481","4085","鱼泉鲜香榨菜鲜香原味70g","1.50","1","0"
"1109481","11419","【桃李】起酥面包豆沙馅100g","3.00","2","0"
"1109481","5870","【桃李】天然酵母面包牛奶蛋羹味75g","4.00","1","0"
"1109481","4511","美好火腿肠30g","1.00","5","0"
"1109482","4417","思念灌汤水饺猪肉韭菜饺子500g","6.50","2","0"
"1109483","4639","红星二锅头（白酒）56°100ml","5.00","1","0"
"1109488","3061","白家陈记正宗酸辣方便粉丝袋装108g","4.50","1","0"
"1109489","4466","李锦记精选生抽酱油500ml","9.00","1","0"
"1109489","4580","桥头麻辣火锅底料300g","11.00","1","0"
"1109489","4300","中江挂面细面700g","4.00","1","0"
"1109492","5623","加加面条鲜生抽酿造酱油500g","9.50","1","0"
"1109492","5641","福临门长粒香金典特选大米5kg","49.00","1","0"
"1109493","4102","RIO3度西柚朗姆味鸡尾酒小罐装330ml","5.08","1","0"
"1109493","4642","中国劲酒（保健酒）35 °258ml","22.00","1","0"
"1109493","4101","RIO3度柠檬朗姆味鸡尾酒小罐装330ml","6.00","1","0"
"1109494","3183","怡宝矿泉水纯净水桶装4.5L","8.50","2","0"
"1109495","3840","劲仔小鱼香辣小鱼12g","1.00","1","0"
"1109495","2045","有友山椒泡椒竹笋120g","3.00","1","0"
"1109495","3351","洽洽焦糖瓜子108g","5.50","1","0"
"1109495","2049","子弟薯片清怡黄瓜味45g","3.50","1","0"
"1109495","2985","乐事大波浪薯片铁板鱿鱼味70g","6.50","1","0"
"1109497","2310","老灶煮花生320g","7.00","1","0"
"1109503","5734","精晶白砂糖300g","3.80","1","0"
"1109503","2889","卫龙亲嘴烧红烧牛肉味辣条22g","0.50","2","0"
"1109503","7238","劲仔小鱼酱汁味12g","1.00","4","0"
"1109503","7236","劲仔小鱼卤香味12g","1.00","4","0"
"1109503","2049","子弟薯片清怡黄瓜味45g","3.50","2","0"
"1109503","17413","可口可乐600ml","3.00","1","0"
"1109506","3361","雪花啤酒勇闯天涯听装500ml","5.00","1","0"
"1109506","5790","徽记绿茶瓜子265g","9.50","1","0"
"1109506","4557","千禾烹调料酒500ml","7.00","1","0"
"1109512","7514","太平苏打饼干芝麻口味卷装100g","3.50","1","0"
"1109512","6111","牛浪汉颗颗豆腐香干100g","5.50","1","0"
"1109512","21463","卫龙牛味棒川香风味18g","0.50","6","0"
"1109512","6293","携成彩虹系荧光笔1支颜色随机","2.00","1","0"
"1109512","3344","渝兄重庆怪味胡豆80g","2.00","2","0"
"1109512","4999","盼盼麦香鸡味块麦香鸡味105g","4.00","1","0"
"1109512","2986","乐事薯片意大利香浓红烩味70g","6.00","1","0"
"1109515","2172","康师傅麻辣笋子牛肉面袋装110g","2.50","2","0"
"1109518","6270","代跑腿服务（黄鹤楼雅香金）","16.00","2","0"
"1109518","4901","哈尔滨啤酒冰纯ICE瓶装500ml","4.00","5","0"
"1109518","4543","久大盐350g","2.00","1","0"
"1109519","3066","好丽友派（巧克力味）204g6枚","8.80","1","0"
"1109522","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1109530","6030","代跑腿服务（论道黄鹤楼）","30.00","1","0"
"1109533","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1109535","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
"1109535","5868","【桃李】奶香面包170g","6.00","1","0"
"1109535","3160","伊利味可滋香蕉牛奶240ml","4.50","1","0"
"1109535","5870","【桃李】天然酵母面包牛奶蛋羹味75g","4.00","1","0"
"1109535","2028","炫迈炫动口香糖薄荷味6片装10.8g","3.50","1","0"
"1109536","6020","代跑腿服务（X娇）","10.00","1","0"
"1109539","3942","康师傅红烧牛肉面袋装103g","2.50","2","0"
"1109539","2328","康师傅老坛酸菜牛肉面袋装118g","2.50","1","0"
"1109542","3048","康师傅鲜虾鱼板面桶装98g","4.50","1","0"
"1109542","4511","美好火腿肠30g","1.00","1","0"
"1109543","11420","【桃李】枣沙蛋糕100g","3.50","1","0"
"1109543","5871","【桃李】轻乳酪蒸蛋糕90g","4.00","1","0"
"1109543","5869","【桃李】小热狗95g","4.00","1","0"
"1109543","4418","思念灌汤水饺猪肉香菇饺子500g","6.00","1","0"
"1109543","11419","【桃李】起酥面包豆沙馅100g","3.00","1","0"
