序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1234,2773,康弘药业,成都康弘药业集团股份有限公司,成都市,金牛区,27.86亿,6.44亿,4201,2015-06-26,,,化学制剂,--,以技术创新为主线推动研发、生产和销售三大板块，以临床需求为导向，持续专注于医药行业致力于中成药、化学药及生物制品的研发、生产和销售，专业创新、专业服务
1235,2774,快意电梯,快意电梯股份有限公司,东莞市,东莞市,7.49亿,7486.71万,1522,2017-03-24,,,电梯设备,--,从事电梯、自动扶梯和自动人行道的设计研发、制造、销售及产品的安装、改造和维保服务。
1236,2775,文科园林,深圳文科园林股份有限公司,深圳市,福田区,25.65亿,2.42亿,1424,2015-06-29,,,园林工程,--,生态工程施工、景观设计、园林养护、绿化苗木种植
1237,2776,柏堡龙,广东柏堡龙股份有限公司,揭阳市,普宁市,8.41亿,1.29亿,945,2015-06-26,,,休闲服装,--,服装设计，同时根据客户需求对公司设计款式提供配套组织生产服务
1238,2777,久远银海,四川久远银海软件股份有限公司,成都市,武侯区,6.90亿,1.06亿,3253,2015-12-31,,,其他软件服务,--,人力资源和社会保障为核心的民生信息化领域软件产品、运维服务和系统集成
1239,2778,高科石化,江苏高科石化股份有限公司,无锡市,宜兴市,5.75亿,3067.04万,160,2016-01-06,,,石油加工,--,从事各类工业润滑油及车用润滑油产品的研发、生产和销售
1240,2779,中坚科技,浙江中坚科技股份有限公司,金华市,永康市,4.41亿,2369.58万,702,2015-12-09,,,农用机械,--,油锯、割灌机、绿篱修剪机、坐骑式草坪割草机等园林机械及便携式数码发电机等以汽油机为核心部件产品的研发、设计、制造及销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1241,2780,三夫户外,北京三夫户外用品股份有限公司,北京市,西城区,3.51亿,-1320.00万,772,2015-12-09,,,户外用品,--,户外用品研发代理销售；户外活动赛事组织运营；设计建设运营户外运动营地和开展青少年户外体验教育。
1242,2781,奇信股份,深圳市奇信集团股份有限公司,深圳市,福田区,39.16亿,1.40亿,1216,2015-12-22,,,装修装饰,--,建筑装饰工程的设计与施工业务。
1243,2782,可立克,深圳可立克科技股份有限公司,深圳市,宝安区,9.24亿,5742.14万,3532,2015-12-22,,,电子零部件,--,磁性元件及开关电源产品的开发、生产和销售
1244,2783,凯龙股份,湖北凯龙化工集团股份有限公司,荆门市,东宝区,13.59亿,1.38亿,2679,2015-12-09,,,民爆用品,--,工业炸药及相关产品的生产、销售
1245,2785,万里石,厦门万里石股份有限公司,厦门市,思明区,9.23亿,-477.93万,1045,2015-12-23,,,石材,--,建筑装饰石材及景观石材的研发设计、生产和销售
1246,2786,银宝山新,深圳市银宝山新科技股份有限公司,深圳市,宝安区,29.05亿,6558.80万,7087,2015-12-23,,,汽车零部件,--,大型精密注塑模具的研发、设计、制造、销售及精密结构件成型生产和销售。
1247,2787,华源控股,苏州华源控股股份有限公司,苏州市,吴江区,11.49亿,9328.46万,1913,2015-12-31,--,,金属包装,--,金属包装产品的生产及销售业务
1248,2788,鹭燕医药,鹭燕医药股份有限公司,厦门市,湖里区,83.38亿,1.45亿,4819,2016-02-18,--,,医药商业,--,药品、中药饮片、医疗器械和疫苗等分销及医药零售连锁
1249,2789,建艺集团,深圳市建艺装饰集团股份有限公司,深圳市,福田区,24.45亿,9037.42万,411,2016-03-11,,,装修装饰,--,为写字楼、政府机关、星级酒店、文教体卫建筑、交通基建建筑等公共建筑及住宅(面向地产商)提供室内建筑装饰的施工和设计服务
1250,2790,瑞尔特,厦门瑞尔特卫浴科技股份有限公司,厦门市,海沧区,9.17亿,1.60亿,2305,2016-03-08,,,卫浴,--,卫浴配件产品的研发、生产与销售。
1251,2791,坚朗五金,广东坚朗五金制品股份有限公司,东莞市,东莞市,31.79亿,1.93亿,11371,2016-03-29,,,其他建材,--,中高端建筑门窗幕墙五金系统及金属构配件等相关产品的研发、生产和销售
1252,2792,通宇通讯,广东通宇通讯股份有限公司,中山市,中山市,15.35亿,1.13亿,2102,2016-03-28,,,通信传输设备,--,专业从事通信天线及射频器件产品的研发、生产及销售
1253,2793,罗欣药业,罗欣药业集团股份有限公司,台州市,温岭市,8.28亿,1.16亿,7177,2016-04-15,,,其他通用机械,--,医药产品的研发、生产和销售
1254,2795,永和智控,永和流体智控股份有限公司,台州市,玉环县,5.47亿,5802.84万,861,2016-04-28,,,其他通用机械,--,流体控制设备及器材的研发、制造和销售
1255,2796,世嘉科技,苏州市世嘉科技股份有限公司,苏州市,虎丘区,5.77亿,2569.25万,2151,2016-05-10,,,电梯设备,--,精密箱体系统、移动通信设备
1256,2797,第一创业,第一创业证券股份有限公司,深圳市,福田区,19.54亿,4.32亿,3285,2016-05-11,,,证券,--,证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券（不含股票、中小企业私募债券以外的公司债券）承销；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。
1257,2798,帝欧家居,帝欧家居股份有限公司,成都市,简阳市,5.34亿,5452.51万,5882,2016-05-25,--,,家具制造,--,卫生洁具、建筑陶瓷两大重要家居装饰、装修产品的生产、研发、销售
1258,2799,环球印务,西安环球印务股份有限公司,西安市,雁塔区,4.38亿,2241.72万,1002,2016-06-08,,,包装印刷,--,医药纸盒包装产品的设计、生产及销售，并兼营酒类、食品彩盒和瓦楞纸箱业务
1259,2800,天顺股份,新疆天顺供应链股份有限公司,乌鲁木齐市,新市区,10.17亿,4345.58万,205,2016-05-30,,,供应链管理,--,从事大宗货物和大件货物的第三方物流和供应链管理业务。
1260,2801,微光股份,杭州微光电子股份有限公司,杭州市,余杭区,5.69亿,1.08亿,787,2016-06-22,,,电机,--,微电机、风机的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1261,2802,洪汇新材,无锡洪汇新材料科技股份有限公司,无锡市,锡山区,3.89亿,7211.84万,319,2016-06-29,,,合成树脂,--,特种氯乙烯共聚物的研发、生产和销售。
1262,2803,吉宏股份,厦门吉宏科技股份有限公司,厦门市,海沧区,11.33亿,8206.47万,2868,2016-07-12,,,包装印刷,--,互联网精准营销广告业务、跨境电商业务;环保包装及食品包装的生产和销售
1263,2805,丰元股份,山东丰元化学股份有限公司,枣庄市,台儿庄区,3.21亿,3790.17万,453,2016-07-07,,,其他化学制品,--,草酸业务及锂电池正极材料业务
1264,2806,华锋股份,广东华锋新能源科技股份有限公司,肇庆市,端州区,4.39亿,2829.59万,662,2016-07-26,,,电子元件,--,新能源汽车电控及驱动系统的研发、生产、销售以及技术服务，同时保持电极箔的研发、生产、销售。
1265,2807,江阴银行,江苏江阴农村商业银行股份有限公司,无锡市,江阴市,25.07亿,7.58亿,1765,2016-09-02,,,银行,--,"吸收公众存款;发放短期,中期和长期贷款;办理国内结算;办理票据承兑与贴现等金融业务。"
1266,2808,恒久科技,苏州恒久光电科技股份有限公司,苏州市,虎丘区,2.86亿,3044.66万,419,2016-08-12,,,其他电子器件,--,激光OPC鼓系列产品的研发、生产和销售。
1267,2809,红墙股份,广东红墙新材料股份有限公司,惠州市,博罗县,6.31亿,8064.49万,617,2016-08-23,,,商品混凝土添加剂,--,研发、生产、销售和技术服务为一体的混凝土外加剂专业制造
1268,2810,山东赫达,山东赫达股份有限公司,淄博市,周村区,6.51亿,4662.67万,1191,2016-08-26,,,其他化学制品,--,非离子型纤维素醚产品的研发、生产和销售。
1269,2811,郑中设计,深圳市郑中设计股份有限公司,深圳市,福田区,18.25亿,1.08亿,--,2016-09-08,,,装修装饰,--,高端建筑装饰工程的设计与施工
1270,2812,恩捷股份,云南恩捷新材料股份有限公司,玉溪市,红塔区,21.14亿,5.49亿,3920,2016-09-14,,,包装印刷,--,提供多种包装印刷产品、包装制品及服务；锂电池隔离膜、铝塑膜、水处理膜等领域
1271,2813,路畅科技,深圳市路畅科技股份有限公司,深圳市,南山区,7.74亿,2434.29万,640,2016-10-12,,,汽车零部件,--,汽车车载导航系统的开发、生产、销售及服务
1272,2815,崇达技术,崇达技术股份有限公司,深圳市,宝安区,31.03亿,4.44亿,4463,2016-10-12,--,,电子元件,--,印制电路板的研发、生产和销售
1273,2816,和科达,深圳市和科达精密清洗设备股份有限公司,深圳市,宝安区,3.48亿,1616.82万,437,2016-10-25,,,其他通用机械,--,精密清洗设备的研发、设计、生产与销售
1274,2817,黄山胶囊,安徽黄山胶囊股份有限公司,宣城市,旌德县,2.86亿,4642.04万,666,2016-10-25,,,化学原料药,--,药用空心胶囊的生产与销售
1275,2818,富森美,成都富森美家居股份有限公司,成都市,成华区,12.58亿,6.51亿,747,2016-11-09,,,专业市场,--,装饰建材家居和汽配市场的开发、租赁和服务
1276,2819,东方中科,北京东方中科集成科技股份有限公司,北京市,海淀区,7.84亿,4558.97万,289,2016-11-11,,,电子零部件,--,提供包括电子测量仪器销售、租赁和系统集成在内的一站式综合服务
1277,2820,桂发祥,天津桂发祥十八街麻花食品股份有限公司,天津市,河西区,4.86亿,9260.48万,1030,2016-11-18,,,休闲食品,--,从事传统特色及其他休闲食品的研发、生产和销售
1278,2821,凯莱英,凯莱英医药集团(天津)股份有限公司,天津市,滨海新区,14.23亿,3.60亿,4552,2016-11-18,,,化学原料药,--,主要从事符合美国FDA（美国食品药品管理局）审批的cGMP标准原料药、关键中间体、制剂产品及生物产品的研究开发、工艺优化及规模化生产
1279,2822,中装建设,深圳市中装建设集团股份有限公司,深圳市,罗湖区,31.73亿,1.60亿,1339,2016-11-29,,,装修装饰,--,建筑装饰施工及设计
1280,2823,凯中精密,深圳市凯中精密技术股份有限公司,深圳市,宝安区,13.84亿,1.53亿,4221,2016-11-24,,,电机,--,微特电机用换向器、集电环的研发、生产与销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1281,2824,和胜股份,广东和胜工业铝材股份有限公司,中山市,中山市,8.41亿,6499.42万,2617,2017-01-12,,,铝,--,工业铝挤压材及深加工制产品的研发、生产和销售
1282,2825,纳尔股份,上海纳尔实业股份有限公司,上海市,浦东新区,6.43亿,3633.46万,920,2016-11-29,,,包装印刷,--,数码喷印材料的研发、生产和销售
1283,2826,易明医药,西藏易明西雅医药科技股份有限公司,拉萨市,堆龙德庆区,3.80亿,6047.66万,421,2016-12-09,,,中药生产,--,化学药（原料药和制剂）以及中成药的研发、生产和销售
1284,2827,高争民爆,西藏高争民爆股份有限公司,拉萨市,城关区,4.50亿,1.09亿,1045,2016-12-09,,,民爆用品,--,民爆器材的销售（流通）、配送、工业炸药生产和爆破服务。
1285,2828,贝肯能源,新疆贝肯能源工程股份有限公司,克拉玛依市,白碱滩区,6.49亿,7029.98万,1659,2016-12-08,,,油田服务,--,从事油气勘探和开发过程中的钻井工程技术服务及其他油田技术服务
1286,2829,星网宇达,北京星网宇达科技股份有限公司,北京市,海淀区,4.10亿,8428.15万,602,2016-12-13,,,航天装备,--,惯性技术开发及应用
1287,2830,名雕股份,深圳市名雕装饰股份有限公司,深圳市,罗湖区,7.44亿,5193.08万,1790,2016-12-13,,,装修装饰,--,为中高端客户提供集原创设计、工程施工、木制品定制、装饰材料选购为一体的家居综合服务
1288,2831,裕同科技,深圳市裕同包装科技股份有限公司,深圳市,宝安区,69.48亿,9.32亿,20446,2016-12-16,,,包装印刷,--,纸质印刷包装产品的研发、设计、生产和销售
1289,2832,比音勒芬,比音勒芬服饰股份有限公司,广州市,番禺区,10.54亿,1.80亿,2684,2016-12-23,,,高尔夫服装,--,高尔夫服饰的研发设计、品牌推广、营销网络建设及供应链管理
1290,2833,弘亚数控,广州弘亚数控机械股份有限公司,广州市,黄埔区,8.20亿,2.35亿,1198,2016-12-28,,,其他专用机械,--,从事数控板式家具机械设备与全自动化生产线的研发、设计、生产与销售。
1291,2835,同为股份,深圳市同为数码科技股份有限公司,深圳市,南山区,5.22亿,2045.10万,1009,2016-12-28,,,专用计算机设备,--,安防视频监控产品硬盘录像机、摄像机及视频监控管理平台的研发、生产与销售
1292,2836,新宏泽,广东新宏泽包装股份有限公司,潮州市,湘桥区,2.69亿,4759.27万,689,2016-12-29,,,包装印刷,--,烟标的设计、生产及销售
1293,2837,英维克,深圳市英维克科技股份有限公司,深圳市,宝安区,7.87亿,8812.89万,1981,2016-12-29,,,其他专用机械,--,精密温控节能设备的研发、生产、销售业务
1294,2838,道恩股份,山东道恩高分子材料股份有限公司,烟台市,龙口市,9.34亿,9573.88万,1000,2017-01-06,,,塑料制品,--,热塑性弹性体、改性塑料和色母粒产品的开发、生产与经营。
1295,2839,张家港行,江苏张家港农村商业银行股份有限公司,苏州市,张家港市,24.17亿,7.54亿,2263,2017-01-24,,,银行,--,个人业务，公司业务，国际业务，小额贷款业务，银行卡，电子银行，金融市场业务。
1296,2840,华统股份,浙江华统肉制品股份有限公司,金华市,义乌市,47.15亿,1.19亿,2256,2017-01-10,,,肉制品,--,饲料加工、畜禽养殖、畜禽屠宰加工、肉制品深加工
1297,2841,视源股份,广州视源电子科技股份有限公司,广州市,黄埔区,108.68亿,6.90亿,4890,2017-01-19,,,电子元件,--,液晶显示主控板卡和交互智能平板的设计、研发与销售。
1298,2842,翔鹭钨业,广东翔鹭钨业股份有限公司,潮州市,湘桥区,9.76亿,6899.45万,940,2017-01-19,,,钨,--,钨制品的开发、生产与销售
1299,2843,泰嘉股份,湖南泰嘉新材料科技股份有限公司,长沙市,望城区,3.00亿,5067.49万,421,2017-01-20,,,金属制品,--,双金属带锯条及其相关产品的研发、生产和销售
1300,2845,同兴达,深圳同兴达科技股份有限公司,深圳市,宝安区,36.64亿,1.49亿,5832,2017-01-25,,,显示器件,--,研发、设计、生产和销售中小尺寸液晶显示模组
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1301,2846,英联股份,广东英联包装股份有限公司,汕头市,濠江区,4.58亿,4542.22万,1159,2017-02-07,,,金属包装,--,金属包装产品研发、生产和销售
1302,2847,盐津铺子,盐津铺子食品股份有限公司,长沙市,浏阳市,7.54亿,6531.94万,2471,2017-02-08,,,休闲食品,--,从事小品类休闲食品的研发、生产和销售。
1303,2848,高斯贝尔,高斯贝尔数码科技股份有限公司,郴州市,苏仙区,10.78亿,1498.46万,1492,2017-02-13,,,电视机,--,数字电视软硬件产品的研发、生产与销售
1304,2849,威星智能,浙江威星智能仪表股份有限公司,杭州市,拱墅区,5.02亿,5320.06万,720,2017-02-17,,,仪器仪表,--,智能计量终端及燃气管理系统平台的研发、生产和销售
1305,2850,科达利,深圳市科达利实业股份有限公司,深圳市,龙华区,14.52亿,1.69亿,3194,2017-03-02,,,电池,--,锂电池精密结构件和汽车结构件研发及制造
1306,2851,麦格米特,深圳麦格米特电气股份有限公司,深圳市,南山区,14.94亿,1.56亿,3076,2017-03-06,,,其他电气设备,--,从事智能家电电控产品、工业定制电源和工业自动化产品供应
1307,2852,道道全,道道全粮油股份有限公司,岳阳市,岳阳楼区,33.02亿,1.91亿,853,2017-03-10,,,植物油,--,食用植物油产品的研发、生产和销售
1308,2853,皮阿诺,广东皮阿诺科学艺术家居股份有限公司,中山市,中山市,8.26亿,1.03亿,2611,2017-03-10,,,橱柜衣柜,--,从事中高端定制橱柜、衣柜、木门等木作三大件及其配套家居产品的研发、设计、生产、销售和安装与售后等服务
1309,2855,捷荣技术,东莞捷荣技术股份有限公司,东莞市,东莞市,15.20亿,4943.24万,7636,2017-03-21,,,电子元件,--,精密模具及精密结构件的生产和销售
1310,2856,美芝股份,深圳市美芝装饰设计工程股份有限公司,深圳市,福田区,9.44亿,4245.73万,652,2017-03-20,,,装修装饰,--,建筑装饰工程的设计与施工
1311,2857,三晖电气,郑州三晖电气股份有限公司,郑州市,二七区,2.04亿,3325.40万,462,2017-03-23,,,仪器仪表,--,电能表的生产、检定、使用、信息采集、仓储全过程相关产品的研发、设计、生产和销售
1312,2858,力盛赛车,上海力盛赛车文化股份有限公司,上海市,松江区,2.82亿,4380.64万,425,2017-03-24,,,赛事运营与传播,--,赛事运营，赛车队、赛车场经营与汽车活动推广业务
1313,2859,洁美科技,浙江洁美电子科技股份有限公司,湖州市,安吉县,9.96亿,1.96亿,2106,2017-04-07,,,电子零部件,--,电子元器件薄型载带的研发、生产和销售
1314,2860,星帅尔,杭州星帅尔电器股份有限公司,杭州市,富阳区,3.55亿,9142.43万,1412,2017-04-12,,,压缩机,--,压缩机热保护器、起动器和密封接线柱的研发、设计、生产和销售
1315,2861,瀛通通讯,瀛通通讯股份有限公司,咸宁市,通城县,7.22亿,8440.89万,3272,2017-04-13,,,消费电子设备,--,各类电声产品、数据线及其他通讯线材的研发、生产和销售
1316,2862,实丰文化,实丰文化发展股份有限公司,汕头市,澄海区,4.37亿,4339.88万,566,2017-04-11,,,文具,--,各类玩具的研发设计、生产与销售
1317,2863,今飞凯达,浙江今飞凯达轮毂股份有限公司,金华市,婺城区,25.80亿,6340.33万,3227,2017-04-18,,,汽车零部件,--,汽车摩托车轮毂及组件生产销售
1318,2864,盘龙药业,陕西盘龙药业集团股份有限公司,--,陕西,3.77亿,4371.90万,721,2017-11-16,,,--,--,中成药的研发、生产和销售
1319,2865,钧达股份,海南钧达汽车饰件股份有限公司,海口市,龙华区,11.53亿,6744.26万,1675,2017-04-25,,,汽车零部件,--,从事汽车塑料内外饰件的研发、生产和销售
1320,2866,传艺科技,江苏传艺科技股份有限公司,扬州市,高邮市,6.69亿,7776.63万,2231,2017-04-26,,,电子元件,--,笔记本电脑及其他消费电子产品零组件的研发、生产和销售、笔记本电脑键盘业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1321,2867,周大生,周大生珠宝股份有限公司,深圳市,罗湖区,38.05亿,5.92亿,3082,2017-04-27,,,珠宝首饰,--,“周大生”品牌珠宝首饰的设计、推广和连锁经营
1322,2868,绿康生化,绿康生化股份有限公司,南平市,浦城县,3.75亿,8592.50万,575,2017-05-03,,,动物用药,--,兽药研发、生产和销售
1323,2869,金溢科技,深圳市金溢科技股份有限公司,深圳市,南山区,6.23亿,8779.37万,910,2017-05-15,,,电子零部件,--,DSRC、RFID技术在智能交通射频识别与电子支付行业的应用开发、产品创新与推广
1324,2870,香山股份,广东香山衡器集团股份有限公司,中山市,中山市,9.29亿,7148.96万,2143,2017-05-15,,,仪器仪表,--,中高端家用、商用衡器和健康运动信息测量产品的研发、生产和销售
1325,2871,伟隆股份,青岛伟隆阀门股份有限公司,青岛市,城阳区,2.86亿,6072.30万,725,2017-05-11,,,基础件,--,给排水阀门的设计、研发、生产和销售
1326,2872,ST天圣,天圣制药集团股份有限公司,重庆市,垫江县,22.61亿,2.55亿,2162,2017-05-19,,,医药商业,--,医药制造与医药流通业务
1327,2873,新天药业,贵阳新天药业股份有限公司,贵阳市,乌当区,6.82亿,6611.68万,1157,2017-05-19,,,中药生产,--,中成药的研发、生产和销售
1328,2875,安奈儿,深圳市安奈儿股份有限公司,深圳市,龙岗区,10.31亿,6886.98万,3690,2017-06-01,,,童装,--,童装产品价值链中自主研发设计、供应链管理、品牌运营推广及直营与加盟销售
1329,2876,三利谱,深圳市三利谱光电科技股份有限公司,深圳市,宝安区,8.18亿,8207.35万,2028,2017-05-25,,,显示器件,--,偏光片产品的研发、生产和销售
1330,2877,智能自控,无锡智能自控工程股份有限公司,无锡市,滨湖区,3.07亿,4764.66万,662,2017-06-05,,,基础件,--,智能控制阀及其配件的研发、生产和销售以及检维修服务。
1331,2878,元隆雅图,北京元隆雅图文化传播股份有限公司,北京市,西城区,8.19亿,7266.24万,643,2017-06-06,,,营销服务,--,提供整合营销服务，聚焦于礼赠品创意设计和供应、数字化营销服务和新媒体营销
1332,2879,长缆科技,长缆电工科技股份有限公司,长沙市,岳麓区,6.17亿,1.21亿,1236,2017-07-07,,,电线电缆,--,电力电缆附件及配套产品的研发、生产、销售及服务。
1333,2880,卫光生物,深圳市卫光生物制品股份有限公司,深圳市,宝安区,6.23亿,1.55亿,682,2017-06-16,,,生物医药,--,生物制品生产、销售及研发
1334,2881,美格智能,美格智能技术股份有限公司,深圳市,宝安区,6.42亿,5628.52万,884,2017-06-22,--,,消费电子设备,--,智能手机为主的终端产品的精密组件的研发、生产、销售；以及4G通信技术开发服务和4G通信模块、智能终端的研发、销售。
1335,2882,金龙羽,金龙羽集团股份有限公司,深圳市,龙岗区,23.66亿,1.90亿,1219,2017-07-17,,,电线电缆,--,专业从事电线电缆的研发、生产、销售与服务
1336,2883,中设股份,江苏中设集团股份有限公司,无锡市,滨湖区,2.32亿,5220.48万,735,2017-06-20,,,专业工程,--,规划咨询及勘察设计、工程监理、项目管理、工程总承包
1337,2884,凌霄泵业,广东凌霄泵业股份有限公司,阳江市,阳春市,9.84亿,1.88亿,968,2017-07-11,,,其他通用机械,--,民用离心泵的研发、设计、生产及销售
1338,2885,京泉华,深圳市京泉华科技股份有限公司,深圳市,龙华区,11.40亿,5751.21万,3121,2017-06-27,,,其他电子器件,--,主要从事磁性元器件、电源及特种变压器研发、生产及销售业务。
1339,2886,沃特股份,深圳市沃特新材料股份有限公司,深圳市,南山区,7.65亿,4036.14万,644,2017-06-27,,,塑料制品,--,改性工程塑料合金、改性通用塑料以及高性能功能高分子材料的研发、生产、销售和技术服务。
1340,2887,绿茵生态,天津绿茵景观生态建设股份有限公司,天津市,滨海新区,6.96亿,1.79亿,332,2017-08-01,,,园林工程,--,生态环境建设工程施工
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1341,2888,惠威科技,广州惠威电声科技股份有限公司,广州市,南沙区,2.64亿,3361.17万,818,2017-07-21,,,消费电子设备,--,各类音响设备、扬声器的研发、生产和销售
1342,2889,东方嘉盛,深圳市东方嘉盛供应链股份有限公司,深圳市,南山区,101.43亿,1.19亿,377,2017-07-31,,,供应链管理,--,提供综合供应链管理服务
1343,2890,弘宇股份,山东弘宇农机股份有限公司,烟台市,莱州市,2.83亿,4010.26万,634,2017-08-02,,,农用机械,--,拖拉机液压提升器的研发、生产与销售。
1344,2891,中宠股份,烟台中宠食品股份有限公司,烟台市,莱山区,10.15亿,8480.66万,2565,2017-08-21,,,宠物食品,--,从事犬用及猫用宠物食品的研发、生产和销售
1345,2892,科力尔,科力尔电机集团股份有限公司,永州市,祁阳县,5.92亿,6544.63万,2714,2017-08-17,,,电机,--,微特电机的开发、生产与销售。
1346,2893,华通热力,北京华远意通热力科技股份有限公司,北京市,丰台区,9.15亿,5258.17万,932,2017-09-15,,,其他发电,--,热力供应、节能技术服务
1347,2895,川恒股份,贵州川恒化工股份有限公司,黔南布依族苗族自治州,福泉市,11.84亿,1.33亿,1289,2017-08-25,,,磷化工,--,磷酸及磷酸盐产品的生产销售
1348,2896,中大力德,宁波中大力德智能传动股份有限公司,宁波市,慈溪市,4.98亿,5965.75万,1466,2017-08-29,,,基础件,--,从事机械传动与控制应用领域关键零部件的研发、生产、销售和服务
1349,2897,意华股份,温州意华接插件股份有限公司,温州市,乐清市,12.15亿,9393.10万,6565,2017-09-07,,,通信传输设备,--,连接器及其组件产品研发、生产和销售
1350,2898,赛隆药业,珠海赛隆药业股份有限公司,珠海市,香洲区,3.64亿,6450.51万,388,2017-09-12,,,化学制剂,--,致力于药品的研发、生产、营销及技术服务
1351,2899,英派斯,青岛英派斯健康科技股份有限公司,青岛市,即墨区,8.57亿,8317.00万,1596,2017-09-15,,,健身器材,--,从事健身器材的开发、制造与销售业务
1352,2900,哈三联,哈尔滨三联药业股份有限公司,--,黑龙江,11.49亿,1.81亿,1843,2017-09-22,,,--,--,化学药品制剂的研发、生产和销售
1353,2901,大博医疗,大博医疗科技股份有限公司,--,福建,5.94亿,3.01亿,2272,2017-09-22,,,--,--,医用高值耗材的生产、研发与销售
1354,2902,铭普光磁,东莞铭普光磁股份有限公司,--,广东,15.10亿,8035.78万,2548,2017-09-29,,,--,--,网络通信领域内通信磁性元器件、通信光电部件研发、生产及销售
1355,2903,宇环数控,宇环数控机床股份有限公司,--,湖南,2.50亿,7899.70万,307,2017-10-13,,,--,--,从事数控磨削设备及智能装备的研发、生产、销售与服务
1356,2905,金逸影视,广州金逸影视传媒股份有限公司,--,广东,21.91亿,2.11亿,5039,2017-10-16,,,--,--,院线发行、电影放映及相关衍生业务、影视制作投资
1357,2906,华阳集团,惠州市华阳集团股份有限公司,--,广东,41.66亿,2.79亿,4934,2017-10-13,,,--,--,汽车电子制造、精密电子部件制造、精密压铸以及LED照明等业务
1358,2907,华森制药,重庆华森制药股份有限公司,--,重庆,5.92亿,1.12亿,1553,2017-10-20,,,--,--,化学药、中成药的研发、生产和销售
1359,2908,德生科技,广东德生科技股份有限公司,--,广东,4.27亿,5750.96万,987,2017-10-20,,,--,--,面向人社、就业、金融、医疗、大数据等领域提供信息系统建设和相关运营服务。
1360,2909,集泰股份,广州集泰化工股份有限公司,--,广东,8.02亿,4524.30万,815,2017-10-26,,,--,--,密封胶和涂料的研发、生产、销售及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1361,2910,庄园牧场,兰州庄园牧场股份有限公司,--,甘肃,6.28亿,6835.19万,922,2017-10-31,,,--,--,乳制品和含乳饮料的生产、加工、销售及奶牛养殖业务
1362,2911,佛燃能源,佛燃能源集团股份有限公司,--,广东,42.92亿,4.55亿,1924,2017-11-22,,,--,--,天然气的销售及输配、燃气工程设计、施工。
1363,2912,中新赛克,深圳市中新赛克科技股份有限公司,--,广东,4.98亿,1.32亿,1259,2017-11-21,,,--,--,为网络可视化基础架构、网络内容安全等产品的研发、生产和销售，以及相关产品的安装、调试和培训等技术服务。
1364,2913,奥士康,奥士康科技股份有限公司,--,湖南,17.36亿,1.73亿,4094,2017-12-01,,,--,--,高密度印制电路板的研发、生产和销售
1365,2915,中欣氟材,浙江中欣氟材股份有限公司,--,浙江,4.01亿,4704.21万,666,2017-12-05,,,--,--,从事氟精细化学品研发、生产、销售
1366,2916,深南电路,深南电路股份有限公司,深圳市,深圳市,56.87亿,4.49亿,11395,2017-12-13,,,--,--,印制电路板的研发、生产及销售
1367,2917,金奥博,深圳市金奥博科技股份有限公司,深圳市,深圳市,4.32亿,7130.85万,718,2017-12-08,,,--,--,提供生产民爆器材的成套工艺技术、装备、软件系统及工业炸药关键原辅材料的一站式综合服务
1368,2918,蒙娜丽莎,蒙娜丽莎集团股份有限公司,广东,佛山市,28.90亿,3.02亿,3787,2017-12-19,,,--,--,高品质建筑陶瓷产品研发、生产和销售
1369,2919,名臣健康,名臣健康用品股份有限公司,汕头市,汕头市,6.42亿,4850.89万,1358,2017-12-18,,,--,--,健康护理用品的研发、生产与销售
1370,2920,德赛西威,惠州市德赛西威汽车电子股份有限公司,惠州市,惠州市,60.10亿,6.16亿,4506,2017-12-26,,,--,--,汽车电子产品的研发设计、生产和销售
1371,2921,联诚精密,山东联诚精密制造股份有限公司,山东,济宁市,6.10亿,4512.76万,1699,2017-12-27,,,--,--,精密机械零部件的研发设计和生产制造
1372,2922,伊戈尔,伊戈尔电气股份有限公司,广东,佛山市,11.49亿,7785.38万,2134,2017-12-29,,,--,--,变压器、电源类及灯具产品的研发、设计、生产和销售。
