Ranking,University Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
186,阿卜杜勒阿齐兹国王大学King Abdulaziz University (KAU),Saudi Arab,28.5,36.8,71.3,99,60.6,38.6,45.2,免费评估
188,巴塞罗那自治大学Universitat Autònoma de Barcelona,Spain,61.1,38.4,14.1,30.7,26.6,54.7,45.1,免费评估
189,德州农工大学Texas A & M University,United Sta,60.9,59.7,13.5,20.3,12.7,50.6,45.0,免费评估
189,智利大学Universidad de Chile,Chile,71.6,90.8,16.3,10.1,8.4,14.5,45.0,免费评估
191,斯德哥尔摩大学Stockholm University,Sweden,54.7,16.8,34.7,82.3,15.7,46.2,44.8,免费评估
192,马德里自治大学Universidad Autónoma de Madrid,Spain,57.4,64.0,45.8,9.9,14.1,24.0,44.7,免费评估
192,维也纳技术大学Vienna University of Technology,Austria,32.9,57.7,8.6,75,87.6,78.7,44.7,免费评估
194,阿伯丁大学University of Aberdeen,United Kin,29.5,23.2,39.6,95.7,98.2,63.6,44.6,免费评估
195,布鲁塞尔自由大学Vrije Universiteit Brussel (VUB),Belgium,25.9,24.7,90.0,85.9,65,29.7,44.5,免费评估
196,早稻田大学Waseda University,Japan,58.6,86.9,36.8,29.2,35.8,7.5,44.4,免费评估
197,哥廷根大学University of G?ttingen,Germany,51.2,19.0,66.1,45.1,26.6,24.1,44.2,免费评估
198,"弗吉尼亚大学University of Virginia,Main Campus",United Sta,39.2,46.6,64.3,14.6,15.8,46.1,44.1,免费评估
198,开普敦大学University of Cape Town,South Afri,47.5,47.6,28.3,71.3,40.9,44.4,44.1,免费评估
200,法赫德国王石油与矿业大学King Fahd University of Petroleum & Minerals,Saudi Arab,26.8,20.1,85.2,100,21.8,40.1,44.0,免费评估
200,庆应义塾大学Keio University,Japan,51.4,77.2,62.2,13.2,11.3,9.4,44.0,免费评估
200,范德堡大学Vanderbilt University,United Sta,28.2,25.4,100.0,23.7,32.8,36.0,44.0,免费评估
203,罗马大学Sapienza University of Rome,Italy,72.9,33.3,5.7,10.1,8.5,43.8,43.5,免费评估
204,比萨高等师范学校Scuola Normale Superiore di Pisa,Italy,22.4,7.3,100.0,19.7,21.1,57.7,43.4,免费评估
205,雷丁大学University of Reading,United Kin,33.2,34.9,32.7,94,88.9,53.4,43.3,免费评估
206,科罗拉多大学波德分校University of Colorado Boulder,United Sta,37.9,25.5,63.3,37.2,14.1,50.4,43.2,免费评估
207,哈萨克斯坦国立大学Al-Farabi Kazakh National University,Kazakhstan,34.0,60.7,98.6,40.8,26.1,1.2,43.1,免费评估
207,"纽卡斯尔大学The University of Newcastle, Australia (UON)",Australia,34.1,31.0,32.8,100,63.4,57.4,43.1,免费评估
207,达特茅斯学院Dartmouth College,United Sta,20.8,28.9,76.8,5.8,35.1,71.5,43.1,免费评估
210,诺特丹大学University of Notre Dame,United Sta,29.8,42.6,67.3,43.1,20.6,49.8,42.9,免费评估
211,西安大略大学The University of Western Ontario,Canada,30.4,65.7,9.1,98.4,50.1,73.5,42.8,免费评估
212,伍伦贡大学University of Wollongong,Australia,31.0,34.3,21.6,93.4,86.4,66.9,42.7,免费评估
212,马德里康普顿斯大学Complutense University of Madrid,Spain,64.6,71.6,26.6,3.6,24.1,14.5,42.7,免费评估
214,坎皮纳斯州立大学Universidade Estadual de Campinas (Unicamp),Brazil,67.5,34.5,21.1,9.9,4.3,32.7,42.1,免费评估
215,亚利桑那州立大学Arizona State University,United Sta,42.0,29.9,12.2,64.1,56.6,67.9,42.0,免费评估
215,惠灵顿维多利亚大学Victoria University of Wellington,New Zealan,47.0,36.0,13.4,99.3,59.2,44.3,42.0,免费评估
217,拉德堡德大学Radboud University,Netherland,31.1,15.3,39.4,54.4,26.2,76.7,41.4,免费评估
217,马来西亚工艺大学Universiti Teknologi Malaysia,Malaysia,33.9,45.0,73.3,27.3,53.7,22.7,41.4,免费评估
219,以色列特拉维夫大学Tel Aviv University,Israel,35.4,40.5,7.8,35.2,11.8,95.4,41.3,免费评估
219,阿姆斯特丹自由大学Vrije Universiteit Amsterdam,Netherland,41.7,16.8,49.1,47.3,21.7,47.7,41.3,免费评估
219,"加州大学欧文分校University of California, Irvine",United Sta,45.3,16.7,16.9,37.4,65.6,64.4,41.3,免费评估
222,拉夫堡大学Loughborough University,United Kin,30.0,63.3,34.4,82.8,72.1,40.4,41.2,免费评估
223,安特卫普大学University of Antwerp,Belgium,23.9,19.3,85.3,71.3,41.3,32.9,40.9,免费评估
224,昆士兰科技大学Queensland University of Technology (QUT),Australia,42.8,46.9,10.1,98.9,52.6,45.9,40.7,免费评估
225,国立成功大学National Cheng Kung University (NCKU),Taiwan,40.8,53.4,42.5,17.7,26.4,39.7,40.4,免费评估
226,乔治城大学Georgetown University,United Sta,34.2,42.8,67.6,16.6,47.3,26.7,40.1,免费评估
227,台湾交通大学National Chiao Tung University,Taiwan,28.9,52.1,45.8,29.1,31.5,54.6,40.0,免费评估
227,坎特伯雷大学Canterbury Christ Church University,New Zealan,38.8,43.8,13.0,100,64.6,45.9,40.0,免费评估
227,汉堡大学Universit?t Hamburg,Germany,47.7,15.5,41.0,45.3,22.6,38.4,40.0,免费评估
230,科廷大学Curtin University,Australia,32.4,47.3,19.5,100,51.8,52.7,39.9,免费评估
231,国立新西伯利亚大学Novosibirsk State University,Russia,30.0,26.4,93.8,11.6,49.1,16.4,39.8,免费评估
231,伊利诺伊大学芝加哥分校University of Illinois at Chicago (UIC),United Sta,46.4,33.7,43.6,12.7,22.6,36.4,39.8,免费评估
233,卡尔加里大学Calgary University,Canada,34.1,39.0,30.6,84.5,61.2,43.2,39.7,免费评估
234,安第斯大学Universidad de los Andes,Colombia,54.4,87.9,27.6,32.1,3.1,8.1,39.6,免费评估
234,圣彼得堡国立大学Saint Petersburg State University,Russia,38.6,31.3,87.9,6.9,35.8,6.0,39.6,免费评估
234,帕多瓦大学Università di Padova,Italy,55.1,38.7,13.3,12.5,6.1,49.8,39.6,免费评估
237,麦考瑞大学Macquarie University,Australia,30.6,47.3,23.6,96.5,95.8,40.5,39.5,免费评估
